swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
56,Z,H,0.2796,0.0043,0.0014,0.0004,0.0024,0.1879,0.0609,0.1391,0.0488,0.0551,0.0007,0.0527,0.0001,0.4976,0.8420,3107.438
57,H,Z,0.2401,0.0054,0.0014,0.0006,0.0032,0.1506,0.0571,0.2121,0.1098,0.0866,0.0011,0.0584,0.0003,0.6241,0.9365,3158.423
58,Z,H,0.2925,0.0056,0.0018,0.0001,0.0030,0.2018,0.0631,0.1436,0.0730,0.0871,0.0011,0.0675,0.0003,0.5763,0.9506,3209.420
59,H,Z,0.1983,0.0039,0.0072,0.0006,0.0031,0.1357,0.0554,0.1553,0.0697,0.0799,0.0018,0.0837,0.0002,0.5060,0.8066,3260.276
60,Z,H,0.2875,0.0045,0.0015,0.0004,0.0026,0.1714,0.0485,0.1537,0.0658,0.0770,0.0098,0.0746,0.0004,0.5243,0.9077,3311.268
61,H,Z,0.2194,0.0047,0.0013,0.0004,0.0023,0.1537,0.0584,0.1460,0.0645,0.0784,0.0015,0.0799,0.0003,0.5086,0.8206,3362.137
62,Z,H,0.2211,0.0040,0.0012,0.0004,0.0022,0.1363,0.0525,0.1810,0.0569,0.0633,0.0016,0.0748,0.0004,0.4986,0.8065,3413.003
63,H,Z,0.2181,0.0037,0.0011,0.0003,0.0024,0.1352,0.0494,0.1332,0.0613,0.0760,0.0011,0.0560,0.0003,0.4634,0.7478,3463.788
64,Z,H,0.2449,0.0057,0.0016,0.0005,0.0039,0.1875,0.0636,0.2346,0.1330,0.0705,0.0257,0.0675,0.0003,0.6978,1.0503,3514.891
65,H,Z,0.2126,0.0032,0.0016,0.0003,0.0024,0.1341,0.0510,0.1539,0.0683,0.0659,0.0038,0.0537,0.0002,0.4803,0.7598,3565.691
66,Z,H,0.2187,0.0035,0.0013,0.0003,0.0018,0.1291,0.0499,0.1351,0.0632,0.0899,0.0015,0.0815,0.0004,0.4766,0.7874,3616.585
67,H,Z,0.2433,0.0046,0.0012,0.0005,0.0022,0.1406,0.0580,0.1393,0.0653,0.0824,0.0286,0.0944,0.0003,0.4949,0.8719,3667.518
68,Z,H,0.2138,0.0036,0.0010,0.0003,0.0019,0.1430,0.0513,0.1352,0.0509,0.0890,0.0100,0.0784,0.0004,0.4767,0.7879,3718.350
69,H,Z,0.2215,0.0031,0.0008,0.0005,0.0020,0.1474,0.0468,0.1478,0.0726,0.0678,0.0011,0.0577,0.0004,0.4900,0.7793,3769.175
70,Z,H,0.2022,0.0035,0.0012,0.0002,0.0021,0.1356,0.0439,0.1377,0.0711,0.0992,0.0018,0.0838,0.0004,0.4944,0.7915,3820.011
71,H,Z,0.1901,0.0038,0.0011,0.0003,0.0019,0.1456,0.0463,0.1462,0.0603,0.0739,0.0012,0.0702,0.0003,0.4790,0.7497,3870.809
72,Z,H,0.2083,0.0040,0.0014,0.0005,0.0025,0.1430,0.0597,0.1649,0.0629,0.0771,0.0102,0.0688,0.0004,0.5150,0.8130,3921.674
73,H,Z,0.2546,0.0049,0.0014,0.0004,0.0033,0.1664,0.0544,0.2632,0.0660,0.0513,0.0065,0.0490,0.0003,0.6097,0.9319,3972.645
74,Z,H,0.2131,0.0046,0.0012,0.0007,0.0019,0.1840,0.0641,0.1511,0.0572,0.0892,0.0152,0.0890,0.0005,0.5549,0.8833,4023.615
75,H,Z,0.1986,0.0037,0.0013,0.0002,0.0020,0.1303,0.0439,0.1298,0.0692,0.0690,0.0011,0.0633,0.0003,0.4493,0.7213,4074.401
76,Z,H,0.3306,0.0068,0.0016,0.0008,0.0049,0.1735,0.0654,0.2315,0.1163,0.0959,0.0028,0.1190,0.0006,0.6933,1.1630,4125.719
77,H,Z,0.2868,0.0054,0.0014,0.0009,0.0032,0.1684,0.0587,0.2338,0.1063,0.0750,0.0012,0.0656,0.0006,0.6507,1.0182,4176.785
78,Z,H,0.2364,0.0041,0.0013,0.0004,0.0023,0.1472,0.0615,0.1690,0.0660,0.0717,0.0014,0.0602,0.0003,0.5237,0.8322,4227.664
79,H,Z,0.2091,0.0037,0.0012,0.0006,0.0022,0.1322,0.0484,0.1515,0.0706,0.0689,0.0273,0.0783,0.0002,0.4791,0.8035,4278.510
80,Z,H,0.2082,0.0024,0.0006,0.0002,0.0019,0.1274,0.0433,0.1102,0.0467,0.0662,0.0012,0.0616,0.0001,0.4002,0.6779,4329.225
81,H,Z,0.2196,0.0035,0.0011,0.0003,0.0017,0.1403,0.0493,0.1196,0.0591,0.0644,0.0015,0.0714,0.0003,0.4397,0.7407,4380.020
82,Z,H,0.1810,0.0029,0.0010,0.0003,0.0016,0.1262,0.0462,0.1336,0.0711,0.0905,0.0011,0.0822,0.0003,0.4741,0.7464,4430.806
83,H,Z,0.2843,0.0040,0.0012,0.0004,0.0030,0.1777,0.0577,0.1670,0.0775,0.0940,0.0396,0.0681,0.0002,0.5812,0.9837,4481.851
84,Z,H,0.1870,0.0037,0.0010,0.0003,0.0017,0.1711,0.0492,0.1466,0.0630,0.0715,0.0317,0.0701,0.0003,0.5098,0.8074,4532.702
85,H,Z,0.2243,0.0053,0.0011,0.0011,0.0035,0.1831,0.0541,0.1952,0.1102,0.0786,0.0050,0.0761,0.0003,0.6316,0.9507,4583.698
86,Z,H,0.2152,0.0030,0.0011,0.0002,0.0027,0.1514,0.0497,0.1336,0.0529,0.0692,0.0273,0.0645,0.0002,0.4655,0.7813,4634.519
87,H,Z,0.2008,0.0034,0.0008,0.0004,0.0020,0.1347,0.0463,0.1269,0.0587,0.0695,0.0221,0.0609,0.0004,0.4438,0.7364,4685.301
88,Z,H,0.1875,0.0035,0.0010,0.0003,0.0019,0.1566,0.0534,0.1363,0.0715,0.0692,0.0050,0.0505,0.0003,0.4948,0.7468,4736.087
89,H,Z,0.2045,0.0034,0.0012,0.0004,0.0017,0.1449,0.0495,0.1513,0.0608,0.0854,0.0060,0.0606,0.0004,0.4991,0.7788,4786.913
90,Z,H,0.2348,0.0032,0.0010,0.0002,0.0021,0.1383,0.0466,0.1420,0.0662,0.0632,0.0396,0.0586,0.0004,0.4638,0.8055,4837.773
91,H,Z,0.2373,0.0043,0.0013,0.0004,0.0025,0.1496,0.0449,0.1989,0.1050,0.0721,0.0011,0.0642,0.0003,0.5773,0.8906,4888.702
92,Z,H,0.2569,0.0039,0.0012,0.0007,0.0024,0.2181,0.0610,0.1773,0.0721,0.0711,0.0121,0.0849,0.0003,0.6079,0.9727,4939.723
93,H,Z,0.2240,0.0030,0.0008,0.0002,0.0020,0.1430,0.0533,0.1344,0.0709,0.0642,0.0042,0.0782,0.0001,0.4742,0.7888,4990.552
94,Z,H,0.2028,0.0034,0.0010,0.0004,0.0020,0.1402,0.0536,0.1386,0.0639,0.0769,0.0112,0.0529,0.0003,0.4799,0.7562,5041.362
95,H,Z,0.1894,0.0037,0.0011,0.0003,0.0018,0.1514,0.0548,0.1477,0.0597,0.0724,0.0242,0.0728,0.0003,0.4943,0.7898,5092.196
96,Z,H,0.2371,0.0039,0.0013,0.0005,0.0021,0.1363,0.0595,0.1591,0.0714,0.0982,0.1330,0.0754,0.0006,0.5333,0.9893,5143.232
97,H,Z,0.1923,0.0035,0.0012,0.0003,0.0018,0.1377,0.0472,0.1324,0.0600,0.0727,0.0013,0.0583,0.0003,0.4574,0.7182,5194.070
98,Z,H,0.2534,0.0050,0.0014,0.0004,0.0028,0.1613,0.0529,0.2167,0.0927,0.0846,0.0019,0.0650,0.0003,0.6196,0.9520,5245.089
99,H,Z,0.2007,0.0030,0.0010,0.0002,0.0016,0.1321,0.0445,0.1255,0.0805,0.0733,0.0305,0.0600,0.0003,0.4622,0.7609,5295.908
100,Z,H,0.2024,0.0041,0.0014,0.0003,0.0019,0.1808,0.0485,0.1385,0.0735,0.0774,0.0096,0.0686,0.0003,0.5256,0.8162,5346.790
101,H,Z,0.2005,0.0040,0.0009,0.0003,0.0021,0.1472,0.0444,0.2103,0.1063,0.0717,0.0214,0.0772,0.0003,0.5888,0.8977,5397.726
102,Z,H,0.2029,0.0031,0.0012,0.0002,0.0026,0.1418,0.0498,0.1462,0.0598,0.0708,0.0068,0.0601,0.0003,0.4761,0.7551,5448.520
103,H,Z,0.2456,0.0034,0.0010,0.0002,0.0018,0.1304,0.0469,0.1365,0.0686,0.0815,0.0027,0.0663,0.0002,0.4720,0.7950,5499.359
104,Z,H,0.2547,0.0038,0.0013,0.0005,0.0122,0.1521,0.0494,0.1396,0.0536,0.0676,0.0077,0.0649,0.0002,0.4687,0.8164,5550.218
105,H,Z,0.2560,0.0050,0.0012,0.0005,0.0029,0.1951,0.0514,0.1436,0.0650,0.0782,0.0016,0.0780,0.0001,0.5431,0.8904,5601.164
106,Z,H,0.2070,0.0043,0.0014,0.0005,0.0023,0.1699,0.0468,0.2311,0.0656,0.0666,0.0009,0.0521,0.0001,0.5873,0.8579,5652.059
107,H,Z,0.1991,0.0035,0.0015,0.0003,0.0018,0.1716,0.0561,0.1617,0.0697,0.0764,0.0209,0.0443,0.0004,0.5439,0.8175,5702.917
108,Z,H,0.2259,0.0042,0.0012,0.0004,0.0023,0.1787,0.0608,0.1779,0.1990,0.0636,0.0009,0.0636,0.0004,0.6901,0.9911,5753.963
109,H,Z,0.2154,0.0044,0.0012,0.0005,0.0025,0.1447,0.0512,0.1990,0.1175,0.0700,0.0118,0.0582,0.0004,0.5905,0.8871,5804.890
110,Z,H,0.1916,0.0034,0.0011,0.0002,0.0019,0.1670,0.0547,0.1340,0.0515,0.0801,0.0070,0.0625,0.0003,0.4945,0.7641,5855.696
111,H,Z,0.2188,0.0053,0.0012,0.0004,0.0025,0.1835,0.0537,0.1903,0.1072,0.0947,0.0031,0.0797,0.0002,0.6386,0.9519,5906.726
112,Z,H,0.2011,0.0038,0.0012,0.0005,0.0021,0.1465,0.0497,0.1480,0.0666,0.0884,0.0276,0.0593,0.0003,0.5064,0.8044,5957.626
113,H,Z,0.1989,0.0038,0.0012,0.0004,0.0019,0.1463,0.0502,0.1458,0.1069,0.0814,0.0019,0.0837,0.0006,0.5387,0.8331,6008.520
114,Z,H,0.1912,0.0037,0.0009,0.0004,0.0022,0.1642,0.0476,0.1534,0.0622,0.0778,0.0224,0.0836,0.0002,0.5135,0.8201,6059.399
115,H,Z,0.1902,0.0039,0.0010,0.0004,0.0021,0.1693,0.0482,0.1340,0.0622,0.0770,0.0142,0.0620,0.0003,0.4988,0.7751,6110.222
116,Z,H,0.2087,0.0033,0.0010,0.0003,0.0022,0.1466,0.0560,0.1312,0.0495,0.0760,0.0015,0.0512,0.0003,0.4678,0.7383,6160.998
117,H,Z,0.2686,0.0051,0.0010,0.0006,0.0032,0.1496,0.0553,0.2215,0.1057,0.0834,0.0321,0.0611,0.0003,0.6231,0.9973,6212.034
118,Z,H,0.2397,0.0038,0.0013,0.0005,0.0027,0.1353,0.0533,0.1396,0.0702,0.0793,0.0080,0.0506,0.0003,0.4859,0.7947,6262.883
119,H,Z,0.3044,0.0045,0.0015,0.0007,0.0030,0.2027,0.0618,0.1764,0.0783,0.0775,0.0020,0.0672,0.0002,0.6060,0.9920,6314.215
120,Z,H,0.2488,0.0055,0.0012,0.0008,0.0037,0.2766,0.0536,0.1662,0.0594,0.1078,0.0384,0.0663,0.0003,0.6728,1.0401,6365.305
121,H,Z,0.2061,0.0035,0.0013,0.0004,0.0023,0.1830,0.0586,0.1354,0.0693,0.0957,0.0022,0.0722,0.0005,0.5500,0.8404,6416.191
122,Z,H,0.2374,0.0054,0.0014,0.0008,0.0036,0.2025,0.0569,0.2023,0.0878,0.0815,0.0070,0.0786,0.0004,0.6398,0.9774,6467.226
123,H,Z,0.2498,0.0037,0.0014,0.0004,0.0027,0.1743,0.0629,0.1507,0.0680,0.0848,0.0120,0.0638,0.0001,0.5469,0.8826,6518.159
124,Z,H,0.1838,0.0031,0.0009,0.0004,0.0021,0.1527,0.0481,0.1515,0.0638,0.0744,0.0013,0.0787,0.0006,0.4977,0.7704,6568.988
125,H,Z,0.2033,0.0034,0.0010,0.0003,0.0015,0.1429,0.0547,0.1436,0.0604,0.0799,0.0014,0.0582,0.0003,0.4899,0.7607,6619.799
126,Z,H,0.3144,0.0058,0.0016,0.0005,0.0029,0.2226,0.0578,0.2544,0.1145,0.0837,0.0022,0.0753,0.0007,0.7413,1.1468,6670.993
127,H,Z,0.1985,0.0045,0.0012,0.0004,0.0025,0.1349,0.0555,0.1435,0.0757,0.0975,0.0392,0.0737,0.0001,0.5126,0.8349,6721.878
128,Z,H,0.2312,0.0060,0.0013,0.0007,0.0039,0.1542,0.0593,0.2116,0.1106,0.1031,0.0338,0.0942,0.0005,0.6477,1.0216,6772.960
129,H,Z,0.2878,0.0052,0.0022,0.0009,0.0046,0.1639,0.0595,0.3247,0.0775,0.0642,0.0110,0.0649,0.0003,0.6994,1.0785,6824.094
130,Z,H,0.2498,0.0068,0.0015,0.0007,0.0042,0.1605,0.0641,0.2350,0.1205,0.0935,0.0013,0.0755,0.0004,0.6824,1.0247,6875.173
131,H,Z,0.2482,0.0047,0.0017,0.0005,0.0025,0.1495,0.0768,0.1650,0.0603,0.0761,0.0270,0.0630,0.0001,0.5348,0.8847,6926.106
132,Z,H,0.3138,0.0066,0.0015,0.0007,0.0045,0.1804,0.0790,0.4004,0.0896,0.1041,0.0014,0.0652,0.0003,0.8630,1.2595,6977.413
133,H,Z,0.3071,0.0071,0.0020,0.0010,0.0043,0.2204,0.0678,0.2508,0.1172,0.1112,0.0327,0.1148,0.0004,0.7770,1.2488,7028.725
134,Z,H,0.3197,0.0048,0.0013,0.0007,0.0028,0.2071,0.0723,0.1920,0.0863,0.0690,0.0030,0.0711,0.0006,0.6368,1.0434,7079.900
135,H,Z,0.2210,0.0040,0.0011,0.0003,0.0022,0.1418,0.0603,0.1487,0.0747,0.0905,0.1354,0.0879,0.0002,0.5235,0.9782,7130.927
136,Z,H,0.2009,0.0035,0.0011,0.0002,0.0017,0.1641,0.0468,0.1284,0.0623,0.0551,0.0019,0.0539,0.0002,0.4626,0.7276,7181.697
137,H,Z,0.1722,0.0028,0.0011,0.0005,0.0018,0.1685,0.0514,0.1446,0.0595,0.0738,0.0013,0.0637,0.0003,0.5053,0.7503,7232.484
138,Z,H,0.2273,0.0033,0.0013,0.0003,0.0017,0.1542,0.0535,0.1523,0.0602,0.0769,0.0037,0.0777,0.0003,0.5047,0.8218,7283.346
139,H,Z,0.2209,0.0054,0.0014,0.0005,0.0026,0.1857,0.0577,0.1678,0.0776,0.0910,0.0019,0.0943,0.0002,0.5885,0.9183,7334.319
140,Z,H,0.2360,0.0038,0.0014,0.0002,0.0023,0.1802,0.0489,0.1352,0.0505,0.0795,0.0014,0.0745,0.0004,0.5027,0.8245,7385.198
141,H,Z,0.2170,0.0030,0.0011,0.0003,0.0024,0.1537,0.0656,0.1321,0.0730,0.0610,0.0226,0.0648,0.0003,0.4933,0.8070,7436.050
142,Z,H,0.1956,0.0042,0.0010,0.0002,0.0021,0.1718,0.0487,0.1369,0.0790,0.0826,0.0017,0.0719,0.0002,0.5277,0.8064,7486.913
143,H,Z,0.1943,0.0034,0.0010,0.0003,0.0021,0.1712,0.0479,0.1390,0.0586,0.0745,0.0451,0.0653,0.0003,0.4992,0.8131,7537.767
144,Z,H,0.2233,0.0036,0.0014,0.0005,0.0025,0.1403,0.0582,0.1734,0.0703,0.0744,0.0013,0.0745,0.0004,0.5258,0.8354,7588.655
145,H,Z,0.1952,0.0034,0.0010,0.0005,0.0025,0.1692,0.0440,0.1297,0.0615,0.0698,0.0017,0.0738,0.0002,0.4817,0.7612,7639.491
146,Z,H,0.1994,0.0043,0.0012,0.0006,0.0020,0.1253,0.0459,0.1375,0.0605,0.0721,0.0196,0.0747,0.0002,0.4492,0.7530,7690.302
147,H,Z,0.2597,0.0043,0.0015,0.0006,0.0023,0.1842,0.0616,0.1995,0.0649,0.0675,0.0012,0.0727,0.0003,0.5852,0.9301,7741.284
148,Z,H,0.1896,0.0028,0.0011,0.0003,0.0022,0.1715,0.0476,0.1399,0.0688,0.0718,0.0272,0.0641,0.0003,0.5069,0.7961,7792.140
149,H,Z,0.2023,0.0046,0.0012,0.0003,0.0025,0.1400,0.0605,0.1901,0.0699,0.0807,0.0011,0.0714,0.0004,0.5495,0.8353,7843.040
150,Z,H,0.1948,0.0032,0.0012,0.0002,0.0020,0.1461,0.0440,0.1200,0.0481,0.0895,0.0006,0.0537,0.0001,0.4525,0.7100,7893.798
151,H,Z,0.2009,0.0052,0.0014,0.0006,0.0023,0.1612,0.0516,0.1403,0.0642,0.0805,0.0074,0.0632,0.0003,0.5054,0.7885,7944.626
152,Z,H,0.2439,0.0033,0.0013,0.0003,0.0015,0.1996,0.0536,0.1446,0.0861,0.0792,0.0059,0.0644,0.0003,0.5697,0.8922,7995.554
153,H,Z,0.2384,0.0029,0.0009,0.0002,0.0017,0.1318,0.0452,0.1431,0.0688,0.0506,0.0106,0.0667,0.0003,0.4462,0.7697,8046.365
154,Z,H,0.2369,0.0047,0.0013,0.0005,0.0026,0.1829,0.0565,0.2256,0.1098,0.0633,0.0313,0.0741,0.0003,0.6451,0.9988,8097.468
155,H,Z,0.2243,0.0040,0.0011,0.0003,0.0019,0.1668,0.0504,0.1392,0.0638,0.0713,0.0101,0.0609,0.0005,0.4993,0.8043,8148.318
156,Z,H,0.2510,0.0047,0.0013,0.0005,0.0021,0.1675,0.0940,0.1656,0.0598,0.0825,0.0259,0.0662,0.0003,0.5804,0.9345,8199.314
