swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
47,H,Z,0.3609,0.0052,0.0015,0.0004,0.0064,0.2437,0.8478,0.5340,0.0889,0.1591,0.0093,0.0582,0.0005,1.8849,2.3294,2721.098
48,Z,H,0.4521,0.0057,0.0016,0.0005,0.0065,0.2734,0.9179,0.6382,0.1027,0.2133,0.0024,0.0841,0.0003,2.1595,2.7151,2773.894
49,H,Z,0.3535,0.0057,0.0013,0.0006,0.0056,0.2480,0.7854,0.5933,0.0971,0.1499,0.0232,0.0617,0.0005,1.8853,2.3396,2826.283
50,Z,H,0.3139,0.0033,0.0012,0.0003,0.0037,0.2099,0.5415,0.3846,0.0649,0.2463,0.0218,0.0982,0.0002,1.4592,1.9037,2878.276
51,H,Z,0.3776,0.0042,0.0014,0.0004,0.0046,0.3014,0.6403,0.4653,0.0654,0.1757,0.0012,0.0666,0.0003,1.6633,2.1215,2930.448
52,Z,H,0.3181,0.0043,0.0013,0.0002,0.0040,0.2194,0.6401,0.3522,0.0495,0.1537,0.0020,0.0819,0.0003,1.4250,1.8390,2982.392
53,H,Z,0.3941,0.0050,0.0015,0.0007,0.0049,0.3097,0.6695,0.4599,0.0709,0.1506,0.0014,0.0671,0.0002,1.6737,2.1515,3034.593
54,Z,H,0.3513,0.0049,0.0014,0.0004,0.0050,0.2547,0.8189,0.3475,0.0627,0.1715,0.0244,0.0581,0.0003,1.6664,2.1143,3086.759
55,H,Z,0.3165,0.0037,0.0011,0.0002,0.0041,0.2342,0.5121,0.3383,0.0484,0.1229,0.0007,0.0539,0.0001,1.2649,1.6471,3138.455
56,Z,H,0.3100,0.0042,0.0010,0.0006,0.0040,0.2152,0.5223,0.3762,0.0529,0.1790,0.0013,0.0648,0.0002,1.3551,1.7431,3190.247
57,H,Z,0.2995,0.0048,0.0018,0.0005,0.0049,0.3840,0.6759,0.3873,0.0541,0.2014,0.0013,0.0657,0.0004,1.7153,2.0966,3242.401
58,Z,H,0.3203,0.0044,0.0014,0.0004,0.0058,0.2444,0.7461,0.6923,0.0987,0.1519,0.0013,0.0631,0.0003,1.9460,2.3450,3294.824
