version,ifs_ms,received,sent,per
v6,3.6,100,100,0.0
v6,3.5,99,100,0.010000000000000009
v6,3.4,99,100,0.010000000000000009
v6,3.3,100,100,0.0
v6,3.2,100,100,0.0
v6,3.1,100,100,0.0
v6,3.0,100,100,0.0
v6,2.9,100,100,0.0
v6,2.8,100,100,0.0
v6,2.7,100,100,0.0
v6,2.6,100,100,0.0
v6,2.5,100,100,0.0
v6,2.4,99,100,0.010000000000000009
v6,2.3,0,100,1.0
v6,2.2,100,100,0.0
v6,2.1,100,100,0.0
v6,2.0,101,100,0.0
v6,1.9,99,100,0.010000000000000009
v6,1.8,100,100,0.0
v6,1.7,100,100,0.0
v6,1.6,100,100,0.0
v6,1.5,100,100,0.0
v6,1.4,99,100,0.010000000000000009
v6,1.3,100,100,0.0
v6,1.2,100,100,0.0
v6,1.1,99,100,0.010000000000000009
v6,1.0,100,100,0.0
v6,0.9,100,100,0.0
v6,0.8,101,100,0.0
v6,0.7,100,100,0.0
v6,0.6,100,100,0.0
v6,0.5,100,100,0.0
v6,0.4,100,100,0.0
v6,0.3,100,100,0.0
v6,0.2,100,100,0.0
v6,0.1,100,100,0.0
