swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
81,H,Z,0.0682,0.0010,0.0002,0.0001,0.0007,0.0405,0.0165,0.0433,0.0222,0.0168,0.0032,0.0255,0.0001,0.1416,0.2413,3474.096
82,Z,H,0.0633,0.0012,0.0003,0.0001,0.0012,0.0453,0.0526,0.0289,0.0196,0.0373,0.0072,0.0261,0.0000,0.1861,0.2860,3514.399
83,H,Z,0.0742,0.0021,0.0005,0.0002,0.0010,0.0449,0.0227,0.0539,0.0253,0.0246,0.0016,0.0344,0.0001,0.1738,0.2890,3554.702
84,Z,H,0.0708,0.0013,0.0004,0.0002,0.0014,0.0492,0.0483,0.0377,0.0199,0.0334,0.0029,0.0281,0.0000,0.1912,0.2971,3595.011
85,H,Z,0.0621,0.0009,0.0004,0.0001,0.0009,0.0411,0.0238,0.0426,0.0216,0.0151,0.0002,0.0186,0.0000,0.1465,0.2301,3635.255
86,Z,H,0.0664,0.0012,0.0004,0.0001,0.0014,0.0443,0.0867,0.0340,0.0225,0.0372,0.0080,0.0284,0.0000,0.2273,0.3336,3675.604
87,H,Z,0.0597,0.0013,0.0006,0.0001,0.0007,0.0411,0.0154,0.0460,0.0283,0.0177,0.0065,0.0292,0.0001,0.1508,0.2494,3715.866
88,Z,H,0.0623,0.0011,0.0004,0.0001,0.0009,0.0458,0.0434,0.0271,0.0186,0.0333,0.0014,0.0249,0.0001,0.1707,0.2623,3756.141
89,H,Z,0.0586,0.0008,0.0003,0.0001,0.0011,0.0387,0.0149,0.0432,0.0216,0.0166,0.0033,0.0205,0.0000,0.1371,0.2221,3796.374
90,Z,H,0.0689,0.0014,0.0003,0.0000,0.0012,0.0470,0.0460,0.0317,0.0209,0.0356,0.0046,0.0244,0.0001,0.1838,0.2854,3836.674
91,H,Z,0.0572,0.0009,0.0003,0.0001,0.0009,0.0390,0.0173,0.0419,0.0302,0.0213,0.0023,0.0234,0.0001,0.1518,0.2374,3876.923
92,Z,H,0.1117,0.0035,0.0008,0.0004,0.0028,0.0731,0.1383,0.0529,0.0457,0.0489,0.0025,0.0378,0.0002,0.3641,0.5250,3917.465
93,H,Z,0.0839,0.0015,0.0006,0.0003,0.0015,0.0471,0.0206,0.0474,0.0213,0.0198,0.0032,0.0271,0.0001,0.1582,0.2774,3957.754
94,Z,H,0.2000,0.0024,0.0005,0.0001,0.0023,0.0878,0.0702,0.0417,0.0296,0.0752,0.0039,0.0298,0.0001,0.3075,0.5474,3998.314
95,H,Z,0.1078,0.0029,0.0007,0.0004,0.0020,0.0646,0.0305,0.0851,0.0553,0.0263,0.0092,0.0381,0.0002,0.2642,0.4267,4038.757
96,Z,H,0.0774,0.0015,0.0005,0.0001,0.0013,0.0459,0.0607,0.0294,0.0189,0.0326,0.0003,0.0271,0.0001,0.1901,0.2989,4079.075
97,H,Z,0.0803,0.0011,0.0005,0.0001,0.0007,0.0521,0.0200,0.0477,0.0326,0.0214,0.0014,0.0268,0.0001,0.1764,0.2879,4119.375
98,Z,H,0.0790,0.0022,0.0007,0.0003,0.0020,0.0498,0.0794,0.0390,0.0232,0.0387,0.0089,0.0424,0.0001,0.2335,0.3702,4159.761
99,H,Z,0.0622,0.0012,0.0003,0.0001,0.0008,0.0393,0.0180,0.0479,0.0217,0.0201,0.0029,0.0291,0.0001,0.1491,0.2462,4200.024
100,Z,H,0.0766,0.0013,0.0003,0.0001,0.0010,0.0463,0.0728,0.0299,0.0186,0.0323,0.0025,0.0221,0.0001,0.2025,0.3071,4240.347
101,H,Z,0.0695,0.0016,0.0006,0.0002,0.0013,0.0438,0.0225,0.0539,0.0212,0.0216,0.0005,0.0290,0.0001,0.1652,0.2688,4280.628
102,Z,H,0.0751,0.0020,0.0006,0.0001,0.0017,0.0486,0.0627,0.0341,0.0225,0.0400,0.0031,0.0303,0.0001,0.2109,0.3244,4320.971
103,H,Z,0.0603,0.0011,0.0003,0.0000,0.0008,0.0414,0.0184,0.0419,0.0211,0.0221,0.0073,0.0248,0.0001,0.1472,0.2424,4361.227
104,Z,H,0.0629,0.0010,0.0002,0.0001,0.0011,0.0452,0.0639,0.0288,0.0191,0.0336,0.0003,0.0196,0.0001,0.1928,0.2786,4401.520
105,H,Z,0.0566,0.0012,0.0003,0.0001,0.0008,0.0387,0.0153,0.0413,0.0234,0.0209,0.0075,0.0215,0.0000,0.1418,0.2302,4441.767
106,Z,H,0.0640,0.0009,0.0003,0.0001,0.0013,0.0430,0.0697,0.0290,0.0180,0.0294,0.0027,0.0222,0.0000,0.1917,0.2835,4482.063
107,H,Z,0.0888,0.0020,0.0006,0.0002,0.0012,0.0600,0.0236,0.0798,0.0417,0.0203,0.0028,0.0264,0.0001,0.2284,0.3512,4522.428
108,Z,H,0.0644,0.0015,0.0003,0.0001,0.0012,0.0457,0.0668,0.0287,0.0197,0.0338,0.0039,0.0234,0.0001,0.1972,0.2925,4562.733
109,H,Z,0.1082,0.0022,0.0008,0.0002,0.0014,0.0584,0.0223,0.0439,0.0282,0.0296,0.0004,0.0323,0.0001,0.1846,0.3310,4603.079
110,Z,H,0.0844,0.0019,0.0006,0.0002,0.0017,0.0480,0.0881,0.0379,0.0247,0.0400,0.0073,0.0213,0.0001,0.2412,0.3591,4643.456
111,H,Z,0.0648,0.0013,0.0005,0.0001,0.0012,0.0428,0.0204,0.0406,0.0232,0.0200,0.0012,0.0329,0.0000,0.1493,0.2521,4683.721
112,Z,H,0.0708,0.0010,0.0002,0.0001,0.0010,0.0478,0.0584,0.0325,0.0183,0.0366,0.0022,0.0199,0.0000,0.1956,0.2913,4724.025
113,H,Z,0.0643,0.0015,0.0006,0.0001,0.0009,0.0411,0.0194,0.0401,0.0209,0.0210,0.0008,0.0261,0.0001,0.1448,0.2399,4764.278
114,Z,H,0.0710,0.0016,0.0004,0.0001,0.0023,0.0489,0.0617,0.0398,0.0266,0.0420,0.0037,0.0298,0.0001,0.2218,0.3319,4804.625
115,H,Z,0.0602,0.0011,0.0004,0.0002,0.0011,0.0390,0.0198,0.0425,0.0267,0.0194,0.0063,0.0259,0.0000,0.1493,0.2449,4844.881
116,Z,H,0.0745,0.0015,0.0004,0.0002,0.0015,0.0522,0.0675,0.0333,0.0197,0.0441,0.0027,0.0287,0.0000,0.2193,0.3296,4885.223
117,H,Z,0.0881,0.0022,0.0005,0.0003,0.0016,0.0597,0.0267,0.0806,0.0455,0.0237,0.0020,0.0352,0.0001,0.2388,0.3698,4925.608
118,Z,H,0.0690,0.0014,0.0003,0.0002,0.0012,0.0536,0.0685,0.0339,0.0216,0.0341,0.0022,0.0190,0.0001,0.2140,0.3080,4965.932
119,H,Z,0.0628,0.0013,0.0004,0.0001,0.0007,0.0415,0.0171,0.0453,0.0264,0.0221,0.0026,0.0449,0.0001,0.1549,0.2683,5006.215
120,Z,H,0.0829,0.0009,0.0004,0.0001,0.0010,0.0676,0.1478,0.0409,0.0263,0.0376,0.0034,0.0198,0.0000,0.3229,0.4320,5046.659
121,H,Z,0.0873,0.0022,0.0004,0.0003,0.0014,0.0817,0.0205,0.0531,0.0249,0.0282,0.0004,0.0217,0.0001,0.2109,0.3257,5087.004
122,Z,H,0.0655,0.0015,0.0005,0.0001,0.0014,0.0477,0.0532,0.0296,0.0195,0.0395,0.0004,0.0229,0.0001,0.1919,0.2848,5127.302
123,H,Z,0.0566,0.0008,0.0004,0.0001,0.0009,0.0399,0.0159,0.0399,0.0194,0.0167,0.0022,0.0293,0.0001,0.1340,0.2251,5167.541
124,Z,H,0.0947,0.0022,0.0005,0.0001,0.0016,0.0658,0.0917,0.0493,0.0421,0.0379,0.0003,0.0224,0.0003,0.2897,0.4125,5207.968
125,H,Z,0.0736,0.0014,0.0006,0.0002,0.0010,0.0432,0.0210,0.0530,0.0304,0.0211,0.0068,0.0307,0.0001,0.1714,0.2868,5248.272
126,Z,H,0.0793,0.0018,0.0007,0.0003,0.0014,0.0512,0.0677,0.0348,0.0242,0.0406,0.0028,0.0321,0.0001,0.2248,0.3439,5288.631
127,H,Z,0.0722,0.0012,0.0005,0.0001,0.0014,0.0421,0.0202,0.0498,0.0240,0.0208,0.0005,0.0215,0.0000,0.1592,0.2571,5328.899
128,Z,H,0.0811,0.0015,0.0004,0.0002,0.0012,0.0504,0.0860,0.0452,0.0256,0.0391,0.0011,0.0313,0.0002,0.2497,0.3676,5369.279
129,H,Z,0.0556,0.0011,0.0003,0.0001,0.0009,0.0391,0.0166,0.0391,0.0221,0.0184,0.0003,0.0215,0.0000,0.1376,0.2182,5409.508
130,Z,H,0.0649,0.0012,0.0004,0.0001,0.0011,0.0458,0.0677,0.0289,0.0199,0.0407,0.0005,0.0283,0.0001,0.2054,0.3026,5449.848
131,H,Z,0.0629,0.0009,0.0003,0.0001,0.0006,0.0428,0.0175,0.0457,0.0251,0.0210,0.0011,0.0268,0.0001,0.1542,0.2480,5490.106
132,Z,H,0.0825,0.0009,0.0003,0.0001,0.0014,0.0625,0.1003,0.0389,0.0278,0.0420,0.0004,0.0299,0.0001,0.2747,0.3909,5530.511
133,H,Z,0.0693,0.0008,0.0003,0.0001,0.0006,0.0538,0.0160,0.0479,0.0246,0.0172,0.0024,0.0200,0.0001,0.1620,0.2561,5570.782
134,Z,H,0.0792,0.0015,0.0005,0.0001,0.0012,0.0473,0.0657,0.0366,0.0207,0.0468,0.0068,0.0299,0.0001,0.2198,0.3401,5611.154
135,H,Z,0.0770,0.0014,0.0003,0.0001,0.0011,0.0594,0.0209,0.0760,0.0476,0.0193,0.0081,0.0148,0.0000,0.2254,0.3289,5651.496
136,Z,H,0.0652,0.0012,0.0003,0.0001,0.0010,0.0444,0.0630,0.0288,0.0196,0.0435,0.0003,0.0234,0.0001,0.2019,0.2938,5691.801
137,H,Z,0.0889,0.0020,0.0005,0.0001,0.0010,0.0569,0.0224,0.0819,0.0442,0.0181,0.0081,0.0241,0.0001,0.2261,0.3518,5732.165
138,Z,H,0.0776,0.0014,0.0004,0.0001,0.0014,0.0494,0.0581,0.0356,0.0215,0.0453,0.0030,0.0249,0.0000,0.2127,0.3221,5772.500
