from_label,to_label,from_mhz,to_mhz,ms
Z15,H18,2425.000,919.500,26.847
Z15,H19,2425.000,920.500,26.786
Z15,H20,2425.000,921.500,26.826
Z15,H21,2425.000,922.500,26.725
Z15,H22,2425.000,923.500,27.002
Z15,H23,2425.000,924.500,26.959
Z15,H24,2425.000,925.500,26.992
Z15,H25,2425.000,926.500,26.785
Z15,H26,2425.000,927.500,26.905
Z16,Z11,2430.000,2405.000,5.899
Z16,Z12,2430.000,2410.000,5.849
Z16,Z13,2430.000,2415.000,5.922
Z16,Z14,2430.000,2420.000,6.104
Z16,Z15,2430.000,2425.000,5.877
Z16,Z16,2430.000,2430.000,1.502
Z16,Z17,2430.000,2435.000,5.926
Z16,Z18,2430.000,2440.000,5.826
Z16,Z19,2430.000,2445.000,5.899
Z16,Z20,2430.000,2450.000,5.798
Z16,Z21,2430.000,2455.000,5.896
Z16,Z22,2430.000,2460.000,5.834
Z16,Z23,2430.000,2465.000,5.900
Z16,Z24,2430.000,2470.000,5.881
Z16,Z25,2430.000,2475.000,5.838
Z16,Z26,2430.000,2480.000,5.862
Z16,H1,2430.000,902.500,26.629
Z16,H2,2430.000,903.500,27.102
Z16,H3,2430.000,904.500,26.728
Z16,H4,2430.000,905.500,26.743
Z16,H5,2430.000,906.500,26.747
Z16,H6,2430.000,907.500,27.320
Z16,H7,2430.000,908.500,27.123
Z16,H8,2430.000,909.500,27.086
Z16,H9,2430.000,910.500,27.055
Z16,H10,2430.000,911.500,27.298
Z16,H11,2430.000,912.500,26.617
Z16,H12,2430.000,913.500,26.753
Z16,H13,2430.000,914.500,27.051
Z16,H14,2430.000,915.500,26.751
Z16,H15,2430.000,916.500,26.902
Z16,H16,2430.000,917.500,26.764
Z16,H17,2430.000,918.500,27.008
Z16,H18,2430.000,919.500,26.852
Z16,H19,2430.000,920.500,26.934
Z16,H20,2430.000,921.500,27.181
Z16,H21,2430.000,922.500,26.974
Z16,H22,2430.000,923.500,26.789
Z16,H23,2430.000,924.500,26.660
Z16,H24,2430.000,925.500,26.987
Z16,H25,2430.000,926.500,27.049
Z16,H26,2430.000,927.500,27.146
Z17,Z11,2435.000,2405.000,6.180
Z17,Z12,2435.000,2410.000,6.123
Z17,Z13,2435.000,2415.000,5.992
Z17,Z14,2435.000,2420.000,5.797
