from_label,to_label,from_mhz,to_mhz,ms
Z17,H19,2435.000,920.500,1.300
Z17,H20,2435.000,921.500,1.250
Z17,H21,2435.000,922.500,1.209
Z17,H22,2435.000,923.500,1.257
Z17,H23,2435.000,924.500,1.344
Z17,H24,2435.000,925.500,1.233
Z17,H25,2435.000,926.500,1.229
Z17,H26,2435.000,927.500,1.397
Z18,Z11,2440.000,2405.000,1.242
Z18,Z12,2440.000,2410.000,1.296
Z18,Z13,2440.000,2415.000,1.240
Z18,Z14,2440.000,2420.000,1.218
Z18,Z15,2440.000,2425.000,1.276
Z18,Z16,2440.000,2430.000,1.299
Z18,Z17,2440.000,2435.000,0.389
Z18,Z18,2440.000,2440.000,0.379
Z18,Z19,2440.000,2445.000,1.293
Z18,Z20,2440.000,2450.000,1.313
Z18,Z21,2440.000,2455.000,1.304
Z18,Z22,2440.000,2460.000,1.277
Z18,Z23,2440.000,2465.000,1.269
Z18,Z24,2440.000,2470.000,1.192
Z18,Z25,2440.000,2475.000,1.270
Z18,Z26,2440.000,2480.000,1.250
Z18,H1,2440.000,902.500,1.221
Z18,H2,2440.000,903.500,1.284
Z18,H3,2440.000,904.500,1.218
Z18,H4,2440.000,905.500,1.194
Z18,H5,2440.000,906.500,1.212
Z18,H6,2440.000,907.500,1.281
Z18,H7,2440.000,908.500,1.255
Z18,H8,2440.000,909.500,1.292
Z18,H9,2440.000,910.500,1.247
Z18,H10,2440.000,911.500,1.268
Z18,H11,2440.000,912.500,1.307
Z18,H12,2440.000,913.500,1.439
Z18,H13,2440.000,914.500,1.233
Z18,H14,2440.000,915.500,1.241
Z18,H15,2440.000,916.500,1.285
Z18,H16,2440.000,917.500,1.384
Z18,H17,2440.000,918.500,1.316
Z18,H18,2440.000,919.500,1.342
Z18,H19,2440.000,920.500,1.224
Z18,H20,2440.000,921.500,1.282
Z18,H21,2440.000,922.500,1.245
Z18,H22,2440.000,923.500,1.270
Z18,H23,2440.000,924.500,1.214
Z18,H24,2440.000,925.500,1.328
Z18,H25,2440.000,926.500,1.309
Z18,H26,2440.000,927.500,1.246
Z19,Z11,2445.000,2405.000,1.318
Z19,Z12,2445.000,2410.000,1.329
Z19,Z13,2445.000,2415.000,1.243
Z19,Z14,2445.000,2420.000,1.247
Z19,Z15,2445.000,2425.000,1.205
Z19,Z16,2445.000,2430.000,1.238
Z19,Z17,2445.000,2435.000,1.260
Z19,Z18,2445.000,2440.000,0.409
Z19,Z19,2445.000,2445.000,0.563
Z19,Z20,2445.000,2450.000,1.222
Z19,Z21,2445.000,2455.000,1.400
Z19,Z22,2445.000,2460.000,1.265
Z19,Z23,2445.000,2465.000,1.218
Z19,Z24,2445.000,2470.000,1.172
