swap_idx,from,to,read_toml,disconnect,retune_radio,park_selectors,load_plugins,build_read_toml,build_create_blocks,build_connect,build_bridge_ports,start_runtime,reconnect,terminate_spawn,unpark_selectors,build_and_start,total,t_ms
67,H,Z,0.1448,0.0028,0.0007,0.0002,0.0016,0.0940,0.0383,0.0999,0.0443,0.0672,0.0005,0.0497,0.0001,0.3480,0.5498,3682.913
68,Z,H,0.2038,0.0029,0.0008,0.0002,0.0026,0.1504,0.3665,0.2457,0.0371,0.1009,0.0009,0.0412,0.0003,0.9083,1.1622,3734.107
69,H,Z,0.1393,0.0027,0.0009,0.0002,0.0019,0.0967,0.0517,0.0981,0.0425,0.0496,0.0203,0.0413,0.0002,0.3433,0.5517,3784.687
70,Z,H,0.2083,0.0025,0.0009,0.0002,0.0025,0.1599,0.4448,0.2450,0.0362,0.1195,0.0015,0.0575,0.0003,1.0131,1.2884,3836.021
71,H,Z,0.1941,0.0034,0.0008,0.0005,0.0024,0.1234,0.0413,0.1058,0.0513,0.0615,0.0082,0.0421,0.0002,0.3885,0.6420,3886.703
72,Z,H,0.2171,0.0028,0.0010,0.0002,0.0028,0.1579,0.3725,0.2553,0.0373,0.1227,0.0046,0.0401,0.0002,0.9534,1.2235,3937.957
73,H,Z,0.1353,0.0026,0.0007,0.0001,0.0016,0.0961,0.0491,0.0962,0.0451,0.0672,0.0042,0.0474,0.0002,0.3585,0.5520,3988.566
74,Z,H,0.3013,0.0044,0.0009,0.0003,0.0042,0.2342,0.7916,0.5403,0.0951,0.1118,0.0010,0.0605,0.0002,1.7827,2.1577,4040.791
75,H,Z,0.2173,0.0046,0.0009,0.0003,0.0027,0.1528,0.0829,0.1155,0.0506,0.0884,0.0303,0.1099,0.0002,0.4975,0.8657,4091.698
76,Z,H,0.2080,0.0023,0.0008,0.0001,0.0022,0.1474,0.4243,0.2399,0.0356,0.0933,0.0008,0.0533,0.0001,0.9478,1.2169,4142.949
77,H,Z,0.1447,0.0029,0.0008,0.0003,0.0015,0.0948,0.0396,0.1003,0.0508,0.0589,0.0049,0.0518,0.0002,0.3499,0.5585,4193.545
