method,iteration,from_hz,to_hz,time_us
soapy,276,891714000,5004153000,117498.4
soapy,277,5004153000,3812745000,116877.0
soapy,278,3812745000,265173000,116873.3
soapy,279,265173000,3792998000,115738.8
soapy,280,3792998000,3191036000,11187.9
soapy,281,3191036000,3112595000,11023.0
soapy,282,3112595000,4267766000,119001.9
soapy,283,4267766000,2648007000,114722.5
soapy,284,2648007000,1375980000,10624.9
soapy,285,1375980000,2953923000,10366.3
soapy,286,2953923000,930175000,117053.7
soapy,287,930175000,5225148000,119544.0
soapy,288,5225148000,2648007000,116458.3
soapy,289,2648007000,1067057000,117903.5
soapy,290,1067057000,4973067000,117605.5
soapy,291,4973067000,5004153000,10861.0
soapy,292,5004153000,3774305000,115175.6
soapy,293,3774305000,1206774000,115053.7
soapy,294,1206774000,170149000,11158.3
soapy,295,170149000,1620451000,115099.8
soapy,296,1620451000,1745151000,10738.2
soapy,297,1745151000,4722850000,113961.7
soapy,298,4722850000,5765894000,10312.1
soapy,299,5765894000,5433377000,10536.8
soapy,300,5433377000,1543358000,113371.6
soapy,301,1543358000,513357000,113229.7
soapy,302,513357000,382060000,10762.9
soapy,303,382060000,3936721000,113009.9
soapy,304,3936721000,4934155000,114655.1
soapy,305,4934155000,3217895000,112453.2
soapy,306,3217895000,2507630000,10074.8
soapy,307,2507630000,3309601000,10234.6
soapy,308,3309601000,3636445000,10059.1
soapy,309,3636445000,4409125000,112437.1
soapy,310,4409125000,246169000,114322.1
soapy,311,246169000,3222649000,114073.8
soapy,312,3222649000,2121770000,10151.9
soapy,313,2121770000,930938000,116792.9
soapy,314,930938000,4934155000,120307.5
soapy,315,4934155000,2930889000,116780.3
soapy,316,2930889000,5445071000,114705.3
soapy,317,5445071000,170149000,114254.5
soapy,318,170149000,2838388000,115727.2
soapy,319,2838388000,1286094000,116332.8
soapy,320,1286094000,859700000,10492.9
soapy,321,859700000,714225000,10428.2
soapy,322,714225000,1077145000,10772.4
soapy,323,1077145000,2507630000,116270.4
soapy,324,2507630000,939019000,115996.1
soapy,325,939019000,5266011000,116024.2
