fe:8e:02:65:9e:e9	34:83:b4:d2:81:b4
16:4d:4d:45:07:5a	d1:94:98:a4:6c:c2
15:6b:a0:fc:d5:3c	e8:2d:6f:ba:58:cb
15:3e:c1:8f:59:c8	0x07b9
14:43:c3:33:92:60	05:12:69:ea:9a:c1
13:5c:dd:3a:c1:b2	45:50:1d:17:53:53
12:c4:e0:3d:d9:9a	0x1280
11:6c:36:30:0e:72	dc:b0:d8:af:3c:a7
10:f4:50:be:9e:a3	0x16c0
10:4c:eb:45:59:12	1f:17:6f:80:6e:ea
0x1fcc	63:e1:5e:96:9a:34
0x1f48	73:79:7d:46:1c:ec
0x1f0d	28:a8:17:da:b3:77
0x1edd	30:88:42:4c:a1:77
0x1c60	07:63:5f:45:18:d3
0x1b47	91:99:ca:c7:5b:05
0x19ce	9e:82:22:c0:60:02
0x197b	51:d9:a2:9e:98:84
0x181a	3b:cb:e3:2d:76:a7
0x17c6	64:5f:da:6e:a4:3f
0x17b7	73:5f:cf:21:70:4b
0x1685	0c:46:7b:89:17:57
0x164d	92:32:7f:47:05:95
0x13f2	f4:2e:a9:4e:df:0a
0x11ef	a2:56:e9:cf:0b:97
0x119f	c5:ec:c9:3e:09:bd
0x118e	83:bb:50:de:07:b1
0x115b	ac:6a:b3:8b:20:06
0x0e92	d7:3b:a1:3d:12:28
0x0e2b	9c:d1:2e:23:82:d8
0x0e2b	2a:b0:97:68:f1:64
0x0dff	c8:ff:29:b5:78:6d
0x0c09	de:4c:cc:6b:e4:22
0x0b69	76:cf:d2:be:18:1a
0x0981	fe:fd:ce:a4:20:35
0x07cd	ae:11:2c:83:be:6e
0x0741	f4:a8:a8:c6:30:a7
0x06e5	67:30:7d:30:d0:bb
0x0611	31:a7:a4:0b:a1:2a
0x0523	c0:a3:ad:ba:71:a7
0x0485	8d:d5:87:cd:57:0b
0x0373	63:5f:1e:dd:42:e6
0x01d6	d8:bb:ec:00:fb:24
0x00ee	be:82:be:23:9f:49
0f:11:91:f1:f2:68	f8:b0:9e:2e:fc:73
0e:d0:bf:22:8b:bb	22:ec:a2:0c:67:95
0e:c6:12:dc:67:88	d8:f2:f3:32:ac:f1
0e:a6:f7:ff:a8:63	42:62:25:e4:ca:53
0d:10:74:15:fc:03	b1:9f:89:23:a8:ad
0c:c5:ad:67:fe:89	0x09be
09:d1:4b:52:08:a8	20:5f:98:5d:f3:49
09:bf:49:6e:79:4b	0x0353
09:5d:42:b9:e2:de	63:f5:96:d4:4f:18
08:e9:c5:e0:3b:9b	9c:07:70:6c:9b:e5
08:dd:78:74:b4:a9	b4:7f:62:e2:22:3d
07:da:db:78:7f:51	cc:e4:9a:ea:d2:25
04:89:31:ed:2d:a6	e2:12:3a:6b:53:1a
02:ab:a9:d8:42:18	61:f1:f2:59:a3:98
01:5e:d6:5a:85:28	14:4f:99:0c:c8:ae
	a3:c9:e4:b0:08:2d
	b0:0e:b5:34:90:c8
	
	
	04:be:3a:c8:cf:c1
	
	f8:8b:48:65:ad:d4
	53:3c:72:6a:5e:c4
	
	
	
	2f:e7:b2:21:8c:4c
	
	
	1c:bb:04:4d:34:44
	
	
	
	
	c8:9f:0e:1e:16:f6
	
	
	79:6e:8a:93:a2:07
	9d:7f:7e:db:d6:5a
	
	
	9a:aa:7c:b7:36:a4
	
	be:ae:f7:15:59:76
	
	b3:08:2f:6c:78:d9
	
	
	
	d6:05:97:ea:cc:17
	
	9f:21:cd:1e:3f:b1
	
	03:ec:81:df:5c:46
	
	
	
	
	
	
	d1:bc:d6:ff:93:19
	
	
	4a:e3:57:1f:a4:6b
