param,from,to,run,time_ms
rate,10,8,2,92.9994
rate,10,8,3,104.5611
rate,10,8,4,98.6857
rate,10,9,0,95.6659
rate,10,9,1,105.5701
rate,10,9,2,106.9655
rate,10,9,3,103.1332
rate,10,9,4,104.0604
rate,10,10,0,88.2967
rate,10,10,1,94.2362
rate,10,10,2,94.5523
rate,10,10,3,90.3259
rate,10,10,4,85.4544
freq,100,100,0,0.7521
freq,100,100,1,0.7509
freq,100,100,2,0.7622
freq,100,100,3,0.7537
freq,100,100,4,0.6860
freq,100,200,0,12.3415
freq,100,200,1,12.4242
freq,100,200,2,14.3025
freq,100,200,3,12.6731
freq,100,200,4,13.9788
freq,100,300,0,14.3970
freq,100,300,1,12.3469
freq,100,300,2,12.1499
freq,100,300,3,12.3063
freq,100,300,4,17.7957
freq,100,400,0,11.0399
freq,100,400,1,13.7971
freq,100,400,2,12.2225
freq,100,400,3,12.2547
freq,100,400,4,12.4293
freq,100,500,0,12.0285
freq,100,500,1,12.3586
freq,100,500,2,12.0367
freq,100,500,3,12.2310
freq,100,500,4,11.3870
freq,100,600,0,12.4024
freq,100,600,1,13.2039
freq,100,600,2,12.7785
freq,100,600,3,15.2575
freq,100,600,4,12.6509
freq,100,700,0,13.1203
freq,100,700,1,13.4639
freq,100,700,2,11.8896
freq,100,700,3,12.3571
freq,100,700,4,13.9003
freq,100,800,0,14.7119
freq,100,800,1,14.9824
freq,100,800,2,14.7887
freq,100,800,3,11.9544
freq,100,800,4,12.4080
freq,100,900,0,16.7624
freq,100,900,1,12.4678
freq,100,900,2,12.5274
freq,100,900,3,14.1092
freq,100,900,4,14.0554
freq,100,1000,0,14.1268
freq,100,1000,1,15.0763
freq,100,1000,2,15.8861
freq,100,1000,3,14.8515
freq,100,1000,4,15.3175
freq,200,100,0,14.4491
freq,200,100,1,15.5053
freq,200,100,2,12.8249
freq,200,100,3,15.2145
freq,200,100,4,12.1780
freq,200,200,0,0.6430
freq,200,200,1,0.7424
freq,200,200,2,0.7541
freq,200,200,3,0.7452
freq,200,200,4,0.7529
freq,200,300,0,12.0987
freq,200,300,1,12.4959
freq,200,300,2,12.4445
freq,200,300,3,12.1914
freq,200,300,4,12.0351
freq,200,400,0,11.9429
freq,200,400,1,9.3330
freq,200,400,2,9.5078
freq,200,400,3,9.3374
freq,200,400,4,14.5449
freq,200,500,0,11.4166
freq,200,500,1,11.6473
freq,200,500,2,11.6815
freq,200,500,3,14.7946
freq,200,500,4,14.6650
freq,200,600,0,12.3155
freq,200,600,1,13.7778
freq,200,600,2,12.2550
freq,200,600,3,15.1604
freq,200,600,4,15.2969
freq,200,700,0,12.1743
freq,200,700,1,12.8651
freq,200,700,2,14.7020
freq,200,700,3,12.3784
freq,200,700,4,13.1306
freq,200,800,0,14.2067
freq,200,800,1,12.7259
freq,200,800,2,14.1105
freq,200,800,3,12.8285
freq,200,800,4,14.0497
freq,200,900,0,12.7666
freq,200,900,1,14.1530
freq,200,900,2,14.5371
freq,200,900,3,14.6273
freq,200,900,4,13.9534
freq,200,1000,0,9.3138
freq,200,1000,1,9.3065
freq,200,1000,2,9.6904
freq,200,1000,3,9.3248
freq,200,1000,4,9.6522
freq,300,100,0,9.3054
freq,300,100,1,12.0022
freq,300,100,2,14.3180
freq,300,100,3,11.8181
freq,300,100,4,9.0229
freq,300,200,0,11.1152
freq,300,200,1,9.3154
freq,300,200,2,11.6359
freq,300,200,3,14.4587
freq,300,200,4,12.2110
freq,300,300,0,0.7042
freq,300,300,1,0.7197
freq,300,300,2,0.7222
freq,300,300,3,0.7508
freq,300,300,4,0.7157
freq,300,400,0,14.5116
freq,300,400,1,12.7403
freq,300,400,2,14.2544
freq,300,400,3,12.3662
freq,300,400,4,13.1797
freq,300,500,0,15.1595
freq,300,500,1,13.2592
freq,300,500,2,14.0482
freq,300,500,3,11.4064
freq,300,500,4,9.3046
freq,300,600,0,9.3398
freq,300,600,1,11.1391
freq,300,600,2,9.2939
freq,300,600,3,9.3242
freq,300,600,4,10.5727
freq,300,700,0,10.0819
freq,300,700,1,13.4764
freq,300,700,2,9.3564
freq,300,700,3,10.4031
freq,300,700,4,9.9979
freq,300,800,0,12.4082
freq,300,800,1,12.5132
freq,300,800,2,12.3139
freq,300,800,3,12.3016
freq,300,800,4,14.2831
freq,300,900,0,12.0412
freq,300,900,1,12.4889
freq,300,900,2,12.3143
freq,300,900,3,12.3741
