method,test,from,to,run,time_ms
set_frequency,grid,300,600,3,11.5893
set_frequency,grid,300,600,4,10.9656
set_frequency,grid,300,700,0,10.9132
set_frequency,grid,300,700,1,11.6523
set_frequency,grid,300,700,2,12.1122
set_frequency,grid,300,700,3,11.6617
set_frequency,grid,300,700,4,11.3297
set_frequency,grid,300,800,0,14.0161
set_frequency,grid,300,800,1,11.1789
set_frequency,grid,300,800,2,11.8535
set_frequency,grid,300,800,3,11.5769
set_frequency,grid,300,800,4,11.7989
set_frequency,grid,300,900,0,11.5494
set_frequency,grid,300,900,1,11.1591
set_frequency,grid,300,900,2,11.6669
set_frequency,grid,300,900,3,10.9241
set_frequency,grid,300,900,4,13.0768
set_frequency,grid,300,1000,0,11.2994
set_frequency,grid,300,1000,1,11.4205
set_frequency,grid,300,1000,2,11.2672
set_frequency,grid,300,1000,3,11.1959
set_frequency,grid,300,1000,4,10.8025
set_frequency,grid,400,100,0,10.6198
set_frequency,grid,400,100,1,10.6082
set_frequency,grid,400,100,2,10.6853
set_frequency,grid,400,100,3,10.3513
set_frequency,grid,400,100,4,10.2473
set_frequency,grid,400,200,0,8.5879
set_frequency,grid,400,200,1,8.5203
set_frequency,grid,400,200,2,8.5395
set_frequency,grid,400,200,3,8.5385
set_frequency,grid,400,200,4,10.2874
set_frequency,grid,400,300,0,10.2081
set_frequency,grid,400,300,1,10.4493
set_frequency,grid,400,300,2,10.7474
set_frequency,grid,400,300,3,10.5596
set_frequency,grid,400,300,4,10.7775
set_frequency,grid,400,400,0,0.5961
set_frequency,grid,400,400,1,0.5975
set_frequency,grid,400,400,2,0.5947
set_frequency,grid,400,400,3,0.6283
set_frequency,grid,400,400,4,0.6062
set_frequency,grid,400,500,0,10.3669
set_frequency,grid,400,500,1,10.9112
set_frequency,grid,400,500,2,10.7918
set_frequency,grid,400,500,3,9.9616
set_frequency,grid,400,500,4,9.0401
set_frequency,grid,400,600,0,8.7063
set_frequency,grid,400,600,1,8.6368
set_frequency,grid,400,600,2,10.5813
set_frequency,grid,400,600,3,10.6114
set_frequency,grid,400,600,4,11.8262
set_frequency,grid,400,700,0,11.1080
set_frequency,grid,400,700,1,11.4352
set_frequency,grid,400,700,2,11.6575
set_frequency,grid,400,700,3,11.3994
set_frequency,grid,400,700,4,10.6423
set_frequency,grid,400,800,0,9.2457
set_frequency,grid,400,800,1,9.1399
set_frequency,grid,400,800,2,9.2130
set_frequency,grid,400,800,3,9.1373
set_frequency,grid,400,800,4,9.0897
set_frequency,grid,400,900,0,9.0408
set_frequency,grid,400,900,1,8.9612
set_frequency,grid,400,900,2,9.0781
set_frequency,grid,400,900,3,9.0681
set_frequency,grid,400,900,4,11.0793
set_frequency,grid,400,1000,0,11.7766
set_frequency,grid,400,1000,1,12.4337
set_frequency,grid,400,1000,2,12.0876
set_frequency,grid,400,1000,3,11.6763
set_frequency,grid,400,1000,4,11.7572
set_frequency,grid,500,100,0,11.5260
set_frequency,grid,500,100,1,11.5818
set_frequency,grid,500,100,2,11.9131
set_frequency,grid,500,100,3,11.4852
set_frequency,grid,500,100,4,11.4250
set_frequency,grid,500,200,0,14.3943
set_frequency,grid,500,200,1,11.4719
set_frequency,grid,500,200,2,11.3435
set_frequency,grid,500,200,3,13.0279
set_frequency,grid,500,200,4,11.8114
set_frequency,grid,500,300,0,11.5112
set_frequency,grid,500,300,1,10.9241
