param,from,to,run,time_ms
rate,8,4,2,68.9323
rate,8,4,3,82.4140
rate,8,4,4,80.2810
rate,8,5,0,139.9835
rate,8,5,1,143.1487
rate,8,5,2,141.2398
rate,8,5,3,148.2231
rate,8,5,4,109.0204
rate,8,6,0,129.9177
rate,8,6,1,127.6340
rate,8,6,2,125.4378
rate,8,6,3,123.4291
rate,8,6,4,115.2577
rate,8,7,0,119.6111
rate,8,7,1,121.4160
rate,8,7,2,116.7711
rate,8,7,3,118.4165
rate,8,7,4,115.9305
rate,8,8,0,102.8452
rate,8,8,1,99.9930
rate,8,8,2,101.2908
rate,8,8,3,101.1734
rate,8,8,4,101.3012
rate,8,9,0,95.2346
rate,8,9,1,109.8874
rate,8,9,2,112.9174
rate,8,9,3,94.4782
rate,8,9,4,105.9551
rate,8,10,0,101.0782
rate,8,10,1,105.4589
rate,8,10,2,103.9468
rate,8,10,3,104.8176
rate,8,10,4,106.6011
rate,9,1,0,622.3570
rate,9,1,1,608.3158
rate,9,1,2,609.7284
rate,9,1,3,627.4939
rate,9,1,4,627.6031
rate,9,2,0,1513.0584
rate,9,2,1,1511.9424
rate,9,2,2,1450.5663
rate,9,2,3,1470.6599
rate,9,2,4,1509.2043
rate,9,3,0,134.4336
rate,9,3,1,139.1860
rate,9,3,2,135.7809
rate,9,3,3,123.1484
rate,9,3,4,133.3955
rate,9,4,0,115.4626
rate,9,4,1,86.4539
rate,9,4,2,88.0840
rate,9,4,3,92.6141
rate,9,4,4,89.9296
rate,9,5,0,102.0284
rate,9,5,1,148.1002
rate,9,5,2,140.2260
rate,9,5,3,143.3109
rate,9,5,4,106.3629
rate,9,6,0,123.5711
rate,9,6,1,124.3553
rate,9,6,2,125.8791
rate,9,6,3,125.6650
rate,9,6,4,124.1800
rate,9,7,0,111.9037
rate,9,7,1,110.9387
rate,9,7,2,114.7342
rate,9,7,3,119.7421
rate,9,7,4,116.4222
rate,9,8,0,113.4340
rate,9,8,1,109.3235
rate,9,8,2,110.5999
rate,9,8,3,112.4926
rate,9,8,4,107.9148
rate,9,9,0,96.2784
rate,9,9,1,96.5427
rate,9,9,2,95.0037
rate,9,9,3,96.6820
rate,9,9,4,91.8271
rate,9,10,0,101.0452
rate,9,10,1,102.7593
rate,9,10,2,98.3319
rate,9,10,3,102.1596
rate,9,10,4,100.7258
rate,10,1,0,641.6298
rate,10,1,1,635.4492
rate,10,1,2,663.2569
rate,10,1,3,660.8573
rate,10,1,4,651.1192
rate,10,2,0,1538.0941
rate,10,2,1,1533.3589
rate,10,2,2,1534.6617
rate,10,2,3,1543.8554
rate,10,2,4,1556.8068
rate,10,3,0,142.2339
rate,10,3,1,151.4315
rate,10,3,2,143.4724
rate,10,3,3,145.9264
rate,10,3,4,145.9573
rate,10,4,0,88.5719
rate,10,4,1,96.9718
rate,10,4,2,93.2240
rate,10,4,3,93.9195
rate,10,4,4,90.7728
rate,10,5,0,98.1643
rate,10,5,1,133.7962
rate,10,5,2,95.5433
rate,10,5,3,97.8934
rate,10,5,4,131.2421
rate,10,6,0,118.7073
rate,10,6,1,120.7518
rate,10,6,2,128.3309
rate,10,6,3,124.4511
rate,10,6,4,125.0436
rate,10,7,0,119.3987
rate,10,7,1,114.7697
rate,10,7,2,118.1482
rate,10,7,3,116.9060
rate,10,7,4,116.1125
rate,10,8,0,106.7123
rate,10,8,1,108.2799
rate,10,8,2,103.4727
rate,10,8,3,111.9321
rate,10,8,4,109.7214
rate,10,9,0,105.1688
rate,10,9,1,102.1445
rate,10,9,2,103.9752
rate,10,9,3,103.1866
rate,10,9,4,103.0797
rate,10,10,0,81.5128
rate,10,10,1,90.4555
rate,10,10,2,92.7684
rate,10,10,3,94.7120
rate,10,10,4,86.7925
freq,100,100,0,1.3993
freq,100,100,1,1.5267
freq,100,100,2,1.5181
freq,100,100,3,1.4126
freq,100,100,4,1.5486
freq,100,200,0,13.1909
freq,100,200,1,13.9091
freq,100,200,2,14.9032
freq,100,200,3,13.4830
freq,100,200,4,14.7006
freq,100,300,0,14.7751
freq,100,300,1,14.5135
freq,100,300,2,16.6609
freq,100,300,3,14.2195
freq,100,300,4,15.3445
freq,100,400,0,15.7657
freq,100,400,1,14.1883
freq,100,400,2,14.0661
freq,100,400,3,14.2335
freq,100,400,4,14.3540
freq,100,500,0,13.5045
freq,100,500,1,13.9477
freq,100,500,2,13.8914
freq,100,500,3,13.1472
freq,100,500,4,13.7290
freq,100,600,0,13.4757
freq,100,600,1,13.6194
freq,100,600,2,13.4535
freq,100,600,3,14.3156
freq,100,600,4,15.2568
freq,100,700,0,13.3087
freq,100,700,1,14.7795
freq,100,700,2,14.6231
freq,100,700,3,13.8368
freq,100,700,4,14.3965
freq,100,800,0,14.6944
freq,100,800,1,13.7865
freq,100,800,2,13.8628
freq,100,800,3,13.1885
freq,100,800,4,14.4951
freq,100,900,0,13.9036
freq,100,900,1,10.6651
freq,100,900,2,10.5719
freq,100,900,3,10.8486
freq,100,900,4,13.6029
freq,100,1000,0,15.6206
freq,100,1000,1,14.0711
freq,100,1000,2,14.4680
freq,100,1000,3,15.7584
freq,100,1000,4,14.2750
freq,200,100,0,14.1262
freq,200,100,1,13.8528
freq,200,100,2,14.3464
freq,200,100,3,14.1103
freq,200,100,4,14.4586
freq,200,200,0,1.6045
freq,200,200,1,1.9910
freq,200,200,2,1.6760
freq,200,200,3,1.9274
freq,200,200,4,1.5690
freq,200,300,0,13.7585
freq,200,300,1,14.1820
freq,200,300,2,13.3244
freq,200,300,3,13.7511
freq,200,300,4,13.7212
freq,200,400,0,14.1580
freq,200,400,1,14.1729
freq,200,400,2,14.1117
freq,200,400,3,13.2857
freq,200,400,4,13.8067
freq,200,500,0,13.8603
freq,200,500,1,14.2155
freq,200,500,2,14.7192
freq,200,500,3,14.5534
freq,200,500,4,14.4724
freq,200,600,0,14.8938
freq,200,600,1,14.2449
freq,200,600,2,13.5911
freq,200,600,3,13.6020
freq,200,600,4,13.6603
freq,200,700,0,13.4654
freq,200,700,1,13.9351
freq,200,700,2,14.4583
freq,200,700,3,14.2836
freq,200,700,4,13.3127
freq,200,800,0,13.8378
freq,200,800,1,13.7230
freq,200,800,2,14.1988
freq,200,800,3,14.9909
freq,200,800,4,13.7664
freq,200,900,0,14.6535
freq,200,900,1,14.0273
freq,200,900,2,15.1906
freq,200,900,3,14.7402
freq,200,900,4,15.3569
freq,200,1000,0,13.5202
freq,200,1000,1,13.8931
freq,200,1000,2,14.5256
freq,200,1000,3,13.4914
freq,200,1000,4,14.0032
freq,300,100,0,14.3061
freq,300,100,1,15.4436
freq,300,100,2,13.4467
freq,300,100,3,13.4039
freq,300,100,4,14.3762
freq,300,200,0,16.1591
freq,300,200,1,13.9422
freq,300,200,2,13.7049
freq,300,200,3,13.6194
freq,300,200,4,13.5439
freq,300,300,0,1.5757
freq,300,300,1,1.3814
freq,300,300,2,1.3597
freq,300,300,3,1.3926
freq,300,300,4,1.4047
freq,300,400,0,13.3544
freq,300,400,1,14.0171
freq,300,400,2,13.9711
freq,300,400,3,14.0498
freq,300,400,4,14.0586
freq,300,500,0,13.9686
freq,300,500,1,14.1084
freq,300,500,2,14.0059
freq,300,500,3,13.3746
freq,300,500,4,13.5066
freq,300,600,0,13.4841
freq,300,600,1,13.6275
freq,300,600,2,13.3394
freq,300,600,3,13.5534
freq,300,600,4,14.3274
freq,300,700,0,13.9615
freq,300,700,1,13.8033
freq,300,700,2,13.9259
freq,300,700,3,13.6067
freq,300,700,4,14.2993
freq,300,800,0,12.7673
freq,300,800,1,10.6640
freq,300,800,2,10.6292
freq,300,800,3,12.6113
freq,300,800,4,14.6486
freq,300,900,0,14.8440
freq,300,900,1,13.3398
freq,300,900,2,13.5665
freq,300,900,3,14.2527
freq,300,900,4,14.0853
freq,300,1000,0,16.3083
freq,300,1000,1,13.6678
freq,300,1000,2,14.0365
freq,300,1000,3,13.7557
freq,300,1000,4,13.7581
freq,400,100,0,13.6829
freq,400,100,1,14.1139
freq,400,100,2,13.8335
freq,400,100,3,13.7878
freq,400,100,4,13.8129
freq,400,200,0,13.4163
freq,400,200,1,13.6243
freq,400,200,2,13.7198
freq,400,200,3,14.3440
freq,400,200,4,13.5850
freq,400,300,0,13.8000
freq,400,300,1,13.2041
freq,400,300,2,13.9152
freq,400,300,3,14.1468
freq,400,300,4,16.0874
freq,400,400,0,1.4389
freq,400,400,1,1.4759
freq,400,400,2,1.4726
freq,400,400,3,1.4146
freq,400,400,4,1.4380
freq,400,500,0,14.8388
freq,400,500,1,13.4234
freq,400,500,2,13.7184
freq,400,500,3,14.7180
freq,400,500,4,14.9980
freq,400,600,0,13.9915
freq,400,600,1,15.3444
freq,400,600,2,14.8145
freq,400,600,3,14.1730
freq,400,600,4,14.1796
freq,400,700,0,13.6735
freq,400,700,1,13.6340
freq,400,700,2,13.1917
freq,400,700,3,10.5186
freq,400,700,4,10.9377
freq,400,800,0,11.3058
freq,400,800,1,16.8026
freq,400,800,2,11.3424
freq,400,800,3,11.6213
freq,400,800,4,10.9664
freq,400,900,0,12.3650
freq,400,900,1,10.4782
freq,400,900,2,11.4553
freq,400,900,3,10.7575
freq,400,900,4,13.4325
freq,400,1000,0,13.5219
freq,400,1000,1,13.3453
